Job Title,Job description Link,badge,Company name,Company Profile Link,Deadline ,Location,Job Type,Salary Amount
Executive Director - Operations (Non-Revenue),https://skill.jobs/jobs/executive-director-operations-non-revenue-y2QdbCth,Experienced,Rupayan Group,https://skill.jobs/company-profile/none-dOlzv0IM,Mon Feb 20 2023,Dhaka,Full Time,Negotiable
Corporate Sales Executive - Electrical Appliances,https://skill.jobs/jobs/corporate-sales-executive-electrical-appliances-1n1ndSVb,Beginner,Walton Hi-Tech Industries PLC.,https://skill.jobs/company-profile/none-ncUCU3cu,Tue Feb 28 2023,Anywhare,Full Time,Negotiable
Executive Director - Operations (Revenue),https://skill.jobs/jobs/executive-director-operations-revenue-17hJVoKj,Experienced,Rupayan Group,https://skill.jobs/company-profile/none-dOlzv0IM,Mon Feb 20 2023,Dhaka,Full Time,Negotiable
Sub-Assistant Engineer (Paint & Powder Coat),https://skill.jobs/jobs/sub-assistant-engineer-paint-powder-coat-p0fB2Tbq,Beginner,Walton Hi-Tech Industries PLC.,https://skill.jobs/company-profile/none-ncUCU3cu,Mon Feb 20 2023,Gazipur (Kaliakair),Full Time,Negotiable
"Manager - Tender, Costing & Documentation (RCL)",https://skill.jobs/jobs/manager-tender-costing-documentation-rcl-1cSgxgEE,Experienced,Rupayan Group,https://skill.jobs/company-profile/none-dOlzv0IM,Mon Feb 20 2023,Anywhere in Bangladesh,Full Time,Negotiable
Accounts Officer - Service Point,https://skill.jobs/jobs/accounts-officer-service-point-Vr2GZA3J,Beginner,Walton Hi-Tech Industries PLC.,https://skill.jobs/company-profile/none-ncUCU3cu,Sat Feb 25 2023,Barishal,Full Time,Negotiable
Executive (Key Account Management)- C & P BD,https://skill.jobs/jobs/executive-key-account-management-c-p-bd-xTGXtJYL,Beginner,SGS Bangladesh Limited,https://skill.jobs/company-profile/none-Nvgtn1gI,Sat Mar 11 2023,Dhaka,Full Time,Negotiable
"Product Executive, International Marketing",https://skill.jobs/jobs/product-executive-international-marketing-xeOSTt3E,Beginner,Popular Pharmaceuticals Ltd.,https://skill.jobs/company-profile/none-A5Tqh5YR,Mon Feb 20 2023,Dhaka (Dhanmondi),Full Time,Negotiable
Web Developer,https://skill.jobs/jobs/web-developer-reO8U2Jv,Beginner,Unicon Global Limited,https://skill.jobs/company-profile/none-mqpN9Z7f,Fri Mar 10 2023,Dhaka,Full Time,Negotiable
Executive (Marketing & Sales),https://skill.jobs/jobs/executive-marketing-sales-nr6DXx8x,Beginner,Unicon Global Limited,https://skill.jobs/company-profile/none-mqpN9Z7f,Tue Feb 28 2023,"Moulvibazar, Sylhet",Full Time,Negotiable
Web Developer,https://skill.jobs/jobs/web-developer-CbeqUcJN,Beginner,Unicon Global Limited,https://skill.jobs/company-profile/none-mqpN9Z7f,Fri Mar 10 2023,Dhaka,Full Time,Negotiable
Coordinator (Project Basis),https://skill.jobs/jobs/coordinator-project-basis-MO0iXQlY,Beginner,SGS Bangladesh Limited,https://skill.jobs/company-profile/none-Nvgtn1gI,Sun Mar 12 2023,Dhaka,Full Time,Negotiable
"Assistant Executive, Business Development - Health & Nutrition",https://skill.jobs/jobs/assistant-executive-business-development-health-nutrition-iZqVG0TH,Beginner,SGS Bangladesh Limited,https://skill.jobs/company-profile/none-Nvgtn1gI,Sun Mar 12 2023,Dhaka,Full Time,Negotiable
Assistant Executive - C & P Laboratory (Chemical),https://skill.jobs/jobs/assistant-executive-c-p-laboratory-chemical-PHBvMnBG,Beginner,SGS Bangladesh Limited,https://skill.jobs/company-profile/none-Nvgtn1gI,Sun Mar 12 2023,Dhaka,Full Time,Negotiable
DGM - Finance & Accounts,https://skill.jobs/jobs/dgm-finance-accounts-M2FK05KJ,Experienced,Silver Line Group,https://skill.jobs/company-profile/none-bsEIxsof,Tue Feb 28 2023,Dhaka (Gulshan),Full Time,Negotiable
Assistant Engineer (Civil),https://skill.jobs/jobs/assistant-engineer-civil-RWyKvlbB,Mid Level,Daffodil International University,https://skill.jobs/company-profile/none-ntHE7cL0,Tue Feb 28 2023,"Daffodil Smart City, Birulia, Savar,Dhaka-1216, Bangladesh",Contractual,Negotiable
IOS Developer,https://skill.jobs/jobs/ios-developer-7yURWg7m,Mid Level,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Android Developer,https://skill.jobs/jobs/android-developer-ejZgGQ3D,Beginner,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Shopify Expert,https://skill.jobs/jobs/shopify-expert-2H1zW6aD,Beginner,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Website Developer,https://skill.jobs/jobs/website-developer-j85lj1Q8,Beginner,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
Mern Stack Developer,https://skill.jobs/jobs/mern-stack-developer-FUi52QWa,Beginner,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,20000 - 30000
Senior Full Stack Developer,https://skill.jobs/jobs/senior-full-stack-developer-pJOM3eob,Experienced,PCI LTD.,https://skill.jobs/company-profile/none-URF6G7yg,Sat Feb 18 2023,Dhaka,Full Time,Negotiable
